id,name,state_id,is_legislator,chamber,start_command,end_command,block_id
law_deputy_215,"RODRIGUEZ, MARCELA VIRGINIA",Buenos Aires,True,deputies,2009-12-10,2013-12-09,DEMOCRACIA IGUALITARIA Y PARTICIPATIVA (D.I.P.)
law_deputy_216,"ROGEL, FABIAN DULIO",Entre Ríos,True,deputies,2011-12-10,2015-12-09,UCR
law_deputy_217,"RUCCI, CLAUDIA MONICA",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE PERONISTA
law_deputy_218,"RUIZ, AIDA DELIA",Santiago del Estero,True,deputies,2011-12-10,2015-12-09,FRENTE CIVICO POR SANTIAGO
law_deputy_219,"SABBATELLA, MARTIN",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE NUEVO ENCUENTRO
law_deputy_220,"SACCA, LUIS FERNANDO",Tucumán,True,deputies,2011-12-10,2015-12-09,UCR
law_deputy_221,"SALIM, JUAN ARTURO",Tucumán,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_222,"SANTILLAN, WALTER MARCELO",Tucumán,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_223,"SANTIN, EDUARDO",Buenos Aires,True,deputies,2011-12-10,2015-12-09,UCR
law_deputy_224,"SCHMIDT LIERMANN, CORNELIA",Ciudad Autónoma de Buenos Aires,True,deputies,2011-12-10,2015-12-09,PRO
law_deputy_225,"SCIUTTO, RUBEN DARIO",Tierra del Fuego,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_226,"SEGARRA, ADELA ROSA",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_227,"SIMONCINI, SILVIA ROSA",Santa Fe,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_228,"SOLA, FELIPE CARLOS",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE RENOVADOR
law_deputy_229,"SOLANAS, FERNANDO EZEQUIEL",Ciudad Autónoma de Buenos Aires,True,deputies,2009-12-10,2013-12-09,MOVIMIENTO PROYECTO SUR
law_deputy_230,"SOLANAS, JULIO RODOLFO",Entre Ríos,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_231,"SOTO, GLADYS BEATRIZ",Chaco,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_232,"STOLBIZER, MARGARITA ROSA",Buenos Aires,True,deputies,2009-12-10,2013-12-09,GEN
law_deputy_233,"STORANI, MARIA LUISA",Buenos Aires,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_234,"TERADA, ALICIA",Chaco,True,deputies,2009-12-10,2013-12-09,COALICION CIVICA - ARI
